Year,Departure Flights,Departure On Time,Departure On Time %,Departure Delayed, Departure Delayed %,Departure Cancelled,Departure Cancelled %,Arrival Flights,Arrival On Time,Arrival On Time %,Arrival Delayed, Arrival Delayed %,Arrival Diverted,Arrival Diverted %,Arrival Cancelled,Arrival Cancelled %
2012,"4,533","3,036",67%,"1,457",32%,40,0.88%,"4,538","3,432",76%,"1,056",23%,7,0.15%,43,0.95%
2012,,,,,,,,0,,,,,,,0,
2013,"7,863","5,189",66%,"2,595",33%,79,1.00%,"7,862","5,723",73%,"2,029",26%,22,0.28%,88,1.12%
2013,,,,,,,,0,,,,,,,0,
2014,"8,172","5,692",70%,"2,432",30%,48,0.59%,"8,170","5,343",65%,"2,769",34%,13,0.16%,45,0.55%
2014,,,,,,,,0,,,,,,,0,
2015,"8,610","6,001",70%,"2,489",29%,120,1.39%,"8,613","5,813",67%,"2,661",31%,25,0.29%,114,1.32%
2015,,,,,,,,0,,,,,,,0,
2016,"8,832","5,644",64%,"3,095",35%,93,1.05%,"8,829","5,403",61%,"3,317",38%,16,0.18%,93,1.05%
2016,,,,,,,,0,,,,,,,0,
2017,"8,692","6,753",78%,"1,904",22%,35,0.40%,"8,686","7,048",81%,"1,588",18%,10,0.12%,40,0.46%
2017,,,,,,,,0,,,,,,,0,
2018,"9,803","7,793",79%,"1,949",20%,61,0.62%,"9,797","7,780",79%,"1,947",20%,21,0.21%,49,0.50%
2018,,,,,,,,0,,,,,,,0,
2019,"9,645","7,354",76%,"2,247",23%,44,0.46%,"9,638","7,192",75%,"2,377",25%,22,0.23%,47,0.49%
2019,,,,,,,,0,,,,,,,0,
