fat.,date,type,registration,operator,location,pic,cat
271,25-May-79,DC-10-10,N110AA,American Airlines,USA,,A1
260,12-Nov-01,Airbus A300B4-605R,N14053,American Airlines,USA,,A1
256,12-Dec-85,DC-8-63CF,N950JW,Arrow Air,Canada,,A1
230,17-Jul-96,Boeing 747-131,N93119,TWA,USA,,A1
229,2-Sep-98,MD-11,HB-IWF,Swissair,Canada,,A1
167,31-Mar-86,Boeing 727-264,XA-MEM,Mexicana,Mexico,,A1
154,16-Aug-87,DC-9-82 (MD-82),N312RC,Northwest Airlines,USA,,A1
145,9-Jul-82,Boeing 727-235,N4737,Pan Am,USA,,A1
137,25-Sep-78,Boeing 727-214,N533PS,PSA,USA,,A1
134,2-Aug-85,Lockheed L-1011 TriStar 1,N726DA,Delta Air Lines,USA,,A1
